N,num_procesos,pi_est,real_time
400000,2,3.142504733,0.004619396
600000,2,3.141032353,0.009374488
900000,2,3.141109091,0.009936987
1350000,2,3.141836462,0.017519522
2025000,2,3.143140968,0.029826660
3037500,2,3.144087718,0.038481664
4556250,2,3.143696152,0.052406759
6834375,2,3.142921984,0.072983335
10251562,2,3.141713514,0.107926757
15377343,2,3.141195605,0.156456817
23066015,2,3.141487658,0.234351768
34599022,2,3.141893273,0.349265208
51898533,2,3.141619493,0.519667226
77847800,2,3.141687153,0.778139552
116771700,2,3.141789898,1.150005385
400000,2,3.139643493,0.004318670
600000,2,3.137599423,0.010152082
900000,2,3.139060375,0.009419613
1350000,2,3.142436156,0.015881848
2025000,2,3.142667807,0.024629957
3037500,2,3.142402834,0.036595222
4556250,2,3.141706206,0.051194606
6834375,2,3.140749704,0.073204120
10251562,2,3.141863721,0.111290880
15377343,2,3.141823921,0.159483655
23066015,2,3.140559484,0.231054841
34599022,2,3.141276266,0.346025598
51898533,2,3.140977976,0.517505076
77847800,2,3.141439809,0.759587216
116771700,2,3.141596080,1.140135954
400000,2,3.141690229,0.004170030
600000,2,3.138255862,0.012601182
900000,2,3.139410767,0.009176756
1350000,2,3.140572003,0.015649110
2025000,2,3.142053398,0.026947229
3037500,2,3.140697023,0.036592267
4556250,2,3.141613057,0.051079059
6834375,2,3.143741703,0.076650588
10251562,2,3.143622975,0.105180587
15377343,2,3.142793523,0.157271740
23066015,2,3.141004682,0.231958332
34599022,2,3.141879008,0.338382649
51898533,2,3.141715534,0.524726659
77847800,2,3.141512829,0.764023917
116771700,2,3.141618901,1.133409349
400000,2,3.145593809,0.004370799
600000,2,3.146880655,0.006568325
900000,2,3.144071853,0.009535401
1350000,2,3.138892506,0.015844257
2025000,2,3.138634655,0.024506214
3037500,2,3.140135323,0.035780057
4556250,2,3.140225138,0.048156266
6834375,2,3.142031911,0.074011369
10251562,2,3.141108020,0.108662111
15377343,2,3.141630715,0.153954726
23066015,2,3.140632606,0.228324670
34599022,2,3.142481981,0.339544456
51898533,2,3.142642774,0.507981235
77847800,2,3.141823330,0.748895325
116771700,2,3.141444457,1.131959097
400000,2,3.139446359,0.004280257
600000,2,3.143220858,0.006468167
900000,2,3.145907175,0.009616334
1350000,2,3.145885182,0.019742606
2025000,2,3.144663855,0.025861426
3037500,2,3.142048523,0.034749307
4556250,2,3.142087525,0.050052555
6834375,2,3.142151810,0.070480483
10251562,2,3.141376565,0.103853709
15377343,2,3.141624938,0.155087258
23066015,2,3.141544564,0.226143594
34599022,2,3.141555786,0.337755728
51898533,2,3.141470403,0.505489924
77847800,2,3.142043596,0.754572361
116771700,2,3.141560412,1.133738134
400000,2,3.145766977,0.004063159
600000,2,3.145874186,0.007423625
900000,2,3.147777669,0.009187135
1350000,2,3.144947118,0.015216836
2025000,2,3.143887584,0.026401913
3037500,2,3.142997866,0.034145710
4556250,2,3.142241379,0.052574795
6834375,2,3.141576954,0.073664817
10251562,2,3.142759480,0.104598761
15377343,2,3.141548561,0.152936599
23066015,2,3.140781853,0.230954410
34599022,2,3.140899563,0.338969993
51898533,2,3.141879483,0.521684210
77847800,2,3.141541987,0.757450819
116771700,2,3.141562441,1.125051500
400000,2,3.138559558,0.004196981
600000,2,3.141394151,0.008851894
900000,2,3.144071853,0.009468705
1350000,2,3.142450786,0.015385113
2025000,2,3.145196237,0.023734191
3037500,2,3.141489588,0.037783289
4556250,2,3.141208030,0.048242388
6834375,2,3.141399340,0.071381548
10251562,2,3.141585465,0.104532626
15377343,2,3.141632640,0.152561682
23066015,2,3.141405940,0.227858743
34599022,2,3.142069605,0.335539465
51898533,2,3.142394835,0.500795214
77847800,2,3.141482657,0.751111985
116771700,2,3.141995322,1.144210476
400000,2,3.154325369,0.004089378
600000,2,3.151210853,0.005285891
900000,2,3.148041918,0.009384196
1350000,2,3.150863337,0.015174887
2025000,2,3.146593987,0.022605766
3037500,2,3.146409830,0.034136392
4556250,2,3.143748210,0.050055792
6834375,2,3.142598263,0.070720584
10251562,2,3.144759926,0.104282595
15377343,2,3.143824782,0.155050478
23066015,2,3.143149047,0.227184282
34599022,2,3.141669320,0.337172479
51898533,2,3.140828377,0.502127181
77847800,2,3.141542621,0.748824978
116771700,2,3.141519421,1.111584224
400000,2,3.147970346,0.004014257
600000,2,3.144571683,0.007219380
900000,2,3.144148739,0.010084424
1350000,2,3.143270258,0.017227942
2025000,2,3.141039661,0.023202730
3037500,2,3.141622805,0.039435168
4556250,2,3.141361798,0.049821782
6834375,2,3.141773363,0.070732246
10251562,2,3.141014666,0.104920195
15377343,2,3.141736622,0.154275188
23066015,2,3.141793605,0.225406285
34599022,2,3.141667893,0.342137735
51898533,2,3.142508239,0.502182445
77847800,2,3.141349045,0.750746204
116771700,2,3.141487982,1.114343026
400000,2,3.133494708,0.004088517
600000,2,3.144621126,0.006318545
900000,2,3.144324494,0.009927108
1350000,2,3.143006810,0.016280108
2025000,2,3.140956836,0.029221199
3037500,2,3.143690729,0.035650062
4556250,2,3.141528577,0.049513671
6834375,2,3.142391636,0.069811723
10251562,2,3.142877990,0.104056550
15377343,2,3.143516297,0.152975020
23066015,2,3.143100649,0.229018665
34599022,2,3.142201725,0.335329538
51898533,2,3.141812912,0.503171125
77847800,2,3.141367679,0.747419580
116771700,2,3.141264371,1.135603528
175157550,2,3.141422766,1.534018004
262736325,2,3.141615783,2.259779821
394104487,2,3.141581670,3.391354856
591156730,2,3.141534946,5.061439068
886735095,2,3.141612434,7.553382459
1330102642,2,3.141582849,11.286578340
175157550,2,3.141592699,1.497639048
262736325,2,3.141638885,2.230433270
394104487,2,3.141641423,3.347486876
591156730,2,3.141650795,5.018177851
886735095,2,3.141585632,7.503861444
1330102642,2,3.141566947,11.272041606
175157550,2,3.141590670,1.490125436
262736325,2,3.141568789,2.231333796
394104487,2,3.141659029,3.343683885
591156730,2,3.141636988,5.001988011
886735095,2,3.141585732,7.485872108
1330102642,2,3.141593059,11.243403913
175157550,2,3.141624986,1.484593180
262736325,2,3.141534080,2.219837214
394104487,2,3.141558655,3.345574740
591156730,2,3.141531757,4.986357034
886735095,2,3.141561424,7.501427294
1330102642,2,3.141577640,11.243957481
175157550,2,3.141592812,1.488929667
262736325,2,3.141548467,2.225985062
394104487,2,3.141579040,3.328277735
591156730,2,3.141655738,4.995588953
886735095,2,3.141590908,7.486065122
1330102642,2,3.141597169,11.204816953
175157550,2,3.141679870,1.484714650
262736325,2,3.141545913,2.208705531
394104487,2,3.141589909,3.328837037
591156730,2,3.141607904,4.993543748
886735095,2,3.141561858,7.492202396
1330102642,2,3.141579109,11.211636847
175157550,2,3.141604306,1.489750578
262736325,2,3.141644370,2.212421064
394104487,2,3.141570075,3.320758827
591156730,2,3.141521407,4.985414369
886735095,2,3.141624544,7.468238048
1330102642,2,3.141568698,11.206166120
175157550,2,3.141658908,1.476719510
262736325,2,3.141555116,2.227543580
394104487,2,3.141611822,3.331137504
591156730,2,3.141561975,4.987170807
886735095,2,3.141555614,7.469800372
1330102642,2,3.141579873,11.208438527
175157550,2,3.141538494,1.481293033
262736325,2,3.141626226,2.222365051
394104487,2,3.141633309,3.347089097
591156730,2,3.141605249,4.984921754
886735095,2,3.141581937,7.472929986
1330102642,2,3.141585119,11.207710566
175157550,2,3.141474600,1.476653611
262736325,2,3.141601320,2.217605641
394104487,2,3.141592889,3.324027731
591156730,2,3.141557985,4.965440399
886735095,2,3.141593958,7.475472191
1330102642,2,3.141566665,11.217315140
