N,num_threads,pi_est,real_time
100000,8,3.143764343,0.000891924
200000,8,3.142554111,0.001402140
300000,8,3.141937004,0.002258062
100000,8,3.143764343,0.001259089
200000,8,3.142554111,0.001821995
300000,8,3.141937004,0.003091097
100000,8,3.143764343,0.000880957
200000,8,3.142554111,0.002419949
300000,8,3.141937004,0.002263069
100000,8,3.141838290,0.000694990
200000,8,3.147549239,0.001260996
300000,8,3.147474938,0.001713037
100000,8,3.141838290,0.001137972
200000,8,3.147549239,0.001640081
300000,8,3.147474938,0.001759052
100000,8,3.141838290,0.001075029
200000,8,3.147549239,0.001163960
300000,8,3.147474938,0.001820087
100000,8,3.138978263,0.002509117
200000,8,3.140358315,0.004557133
300000,8,3.142677561,0.006797075
100000,8,3.138978263,0.003313065
200000,8,3.140358315,0.005237103
300000,8,3.142677561,0.008837938
100000,8,3.138978263,0.002546072
200000,8,3.140358315,0.004621029
300000,8,3.142677561,0.007363081
