N,num_threads,pi_est,real_time
100000,12,3.143369063,0.001031160
200000,12,3.142702253,0.001139879
300000,12,3.141229687,0.002774954
100000,12,3.143369063,0.000923872
200000,12,3.142702253,0.001686096
300000,12,3.141229687,0.002470016
100000,12,3.143369063,0.001461029
200000,12,3.142702253,0.001311064
300000,12,3.141229687,0.002503872
100000,12,3.132733937,0.001706123
200000,12,3.139150703,0.001471996
300000,12,3.142908028,0.001264095
100000,12,3.132733937,0.000887871
200000,12,3.139150703,0.001487017
300000,12,3.142908028,0.002141953
100000,12,3.132733937,0.001205921
200000,12,3.139150703,0.001523972
300000,12,3.142908028,0.002853870
