N,num_threads,pi_est,real_time
400000,12,3.144660000,0.000927925
600000,12,3.142733333,0.001150846
900000,12,3.142044444,0.002344847
1350000,12,3.141226667,0.003458023
2025000,12,3.141951605,0.004914045
3037500,12,3.141763951,0.006294012
4556250,12,3.141472044,0.006737947
6834375,12,3.141271001,0.021435976
10251562,12,3.141028070,0.030277014
15377343,12,3.141098173,0.035641193
23066015,12,3.141202848,0.057448864
34599022,12,3.141192372,0.064174891
51898533,12,3.141425134,0.095248938
77847800,12,3.141669771,0.132100105
116771700,12,3.141622499,0.186388016
400000,12,3.143140000,0.000968933
600000,12,3.142220000,0.001577854
900000,12,3.141822222,0.002299786
1350000,12,3.140325926,0.006764889
2025000,12,3.140920494,0.004679918
3037500,12,3.141465021,0.004230976
4556250,12,3.141284170,0.007540941
6834375,12,3.141309044,0.021228075
10251562,12,3.141152539,0.015854836
15377343,12,3.141194939,0.036607027
23066015,12,3.141798529,0.052700043
34599022,12,3.141469606,0.066102028
51898533,12,3.141508913,0.096395016
77847800,12,3.141553339,0.134926081
116771700,12,3.141548543,0.189272165
400000,12,3.143140000,0.000932932
600000,12,3.142220000,0.001231909
900000,12,3.141822222,0.002268076
1350000,12,3.140325926,0.006167889
2025000,12,3.140920494,0.004750967
3037500,12,3.141465021,0.004753113
4556250,12,3.141284170,0.016560078
6834375,12,3.141309044,0.013222933
10251562,12,3.141152539,0.026021957
15377343,12,3.141194939,0.035244942
23066015,12,3.141798529,0.059834003
34599022,12,3.141822101,0.070514917
51898533,12,3.142074478,0.093348980
77847800,12,3.142149528,0.132025003
116771700,12,3.141906095,0.184159994
400000,12,3.141460000,0.000949860
600000,12,3.139626667,0.001231909
900000,12,3.141062222,0.003189087
1350000,12,3.143351111,0.004827976
2025000,12,3.142445432,0.005241156
3037500,12,3.143078189,0.010370016
4556250,12,3.142270947,0.009800911
6834375,12,3.141959287,0.020261049
10251562,12,3.141871648,0.019071102
15377343,12,3.141977649,0.039072990
23066015,12,3.142000211,0.048022985
34599022,12,3.141822101,0.069910049
51898533,12,3.142074478,0.095655918
77847800,12,3.142149528,0.132293940
116771700,12,3.141906095,0.185832977
400000,12,3.140970000,0.001102924
600000,12,3.140740000,0.001231909
900000,12,3.139706667,0.002676010
1350000,12,3.139371852,0.007961035
2025000,12,3.139800494,0.004558802
3037500,12,3.140465514,0.006659985
4556250,12,3.140958464,0.012492895
6834375,12,3.141558372,0.014068127
10251562,12,3.141039775,0.027521849
15377343,12,3.141035223,0.035597086
23066015,12,3.141345222,0.054958105
34599022,12,3.141031327,0.067656040
51898533,12,3.141269985,0.097663879
77847800,12,3.141440298,0.134318113
116771700,12,3.141615169,0.254187107
400000,12,3.140970000,0.000914812
600000,12,3.140740000,0.000962973
900000,12,3.139706667,0.002008915
1350000,12,3.139371852,0.003190994
2025000,12,3.139800494,0.006736994
3037500,12,3.140465514,0.006242990
4556250,12,3.140958464,0.011891127
6834375,12,3.141558372,0.013394117
10251562,12,3.142028503,0.026721954
15377343,12,3.141996638,0.037138939
23066015,12,3.142112237,0.051854849
34599022,12,3.142137139,0.072113037
51898533,12,3.141904454,0.095407009
77847800,12,3.141628305,0.131130934
116771700,12,3.141606845,0.186589956
400000,12,3.139180000,0.001053810
600000,12,3.140153333,0.001307011
900000,12,3.139128889,0.001569033
1350000,12,3.139514074,0.002089024
2025000,12,3.140503704,0.006264925
3037500,12,3.141097613,0.009589911
4556250,12,3.142304307,0.006273031
6834375,12,3.142054102,0.017864943
10251562,12,3.142028503,0.018128872
15377343,12,3.141996638,0.039263964
23066015,12,3.142112237,0.055639982
34599022,12,3.142137139,0.073729038
51898533,12,3.141904454,0.092742920
77847800,12,3.141628305,0.136105061
116771700,12,3.141642367,0.186280966
400000,12,3.140740000,0.000906944
600000,12,3.141193333,0.001240015
900000,12,3.142017778,0.003494978
1350000,12,3.141925926,0.003753901
2025000,12,3.140632099,0.005175114
3037500,12,3.141009383,0.009829044
4556250,12,3.141457119,0.010090113
6834375,12,3.141306118,0.022007942
10251562,12,3.141834191,0.028961897
15377343,12,3.142096785,0.037292957
23066015,12,3.141740435,0.048418999
34599022,12,3.141386482,0.068041086
51898533,12,3.141716010,0.091195822
77847800,12,3.141639969,0.132395029
116771700,12,3.141642367,0.187376976
400000,12,3.140740000,0.000970125
600000,12,3.141193333,0.001281023
900000,12,3.142017778,0.004166126
1350000,12,3.139727407,0.005187988
2025000,12,3.139741235,0.006356001
3037500,12,3.140158683,0.007106066
4556250,12,3.141034842,0.010269880
6834375,12,3.140968413,0.010000229
10251562,12,3.141785027,0.023801804
15377343,12,3.141842385,0.037117004
23066015,12,3.141585749,0.054279089
34599022,12,3.141255842,0.069457054
51898533,12,3.141400779,0.094977140
77847800,12,3.141548149,0.131949902
116771700,12,3.141570055,0.187539816
400000,12,3.141530000,0.001123905
600000,12,3.140793333,0.001539946
900000,12,3.141084444,0.002406120
1350000,12,3.140871111,0.005003929
2025000,12,3.139741235,0.005038023
3037500,12,3.140158683,0.013129950
4556250,12,3.141034842,0.008572102
6834375,12,3.140968413,0.019315958
10251562,12,3.141785027,0.019726992
15377343,12,3.141842385,0.043126106
23066015,12,3.141585749,0.049017906
34599022,12,3.141255842,0.068136930
51898533,12,3.141400779,0.093830109
77847800,12,3.141611298,0.132411957
116771700,12,3.141637434,0.186978102
