N,num_threads,pi_est,real_time
400000,4,3.143570000,0.001266003
600000,4,3.143753333,0.001756907
900000,4,3.142275556,0.002778053
1350000,4,3.141594074,0.005027056
2025000,4,3.142619259,0.005966902
3037500,4,3.142463210,0.010733843
4556250,4,3.142256900,0.016224861
6834375,4,3.142024838,0.024127007
10251562,4,3.141785418,0.037650108
15377343,4,3.141879322,0.051007032
23066015,4,3.141710781,0.074906111
34599022,4,3.141187864,0.108178139
51898533,4,3.141211333,0.161911964
77847800,4,3.141532477,0.236685991
116771700,4,3.141694572,0.356703043
400000,4,3.143510000,0.001549006
600000,4,3.141520000,0.002121925
900000,4,3.138951111,0.004123211
1350000,4,3.139502222,0.008556128
2025000,4,3.141058765,0.006704092
3037500,4,3.140294321,0.009473085
4556250,4,3.141570370,0.018429995
6834375,4,3.141726347,0.022682905
10251562,4,3.142058547,0.038904905
15377343,4,3.141951636,0.047518015
23066015,4,3.142062294,0.074132919
34599022,4,3.142077484,0.106239080
51898533,4,3.142050431,0.162600994
77847800,4,3.141507711,0.239097118
116771700,4,3.141844368,0.356937885
400000,4,3.138950000,0.001549006
600000,4,3.141380000,0.002028942
900000,4,3.141835556,0.005726099
1350000,4,3.142251852,0.005056858
2025000,4,3.143071605,0.012140989
3037500,4,3.142621235,0.011101961
4556250,4,3.141946118,0.015976191
6834375,4,3.141795409,0.022506952
10251562,4,3.142108881,0.033720970
15377343,4,3.141639489,0.050055027
23066015,4,3.141665346,0.074067116
34599022,4,3.141852622,0.106618881
51898533,4,3.141565408,0.161103010
77847800,4,3.141765548,0.238795996
116771700,4,3.141670696,0.357067108
400000,4,3.145830000,0.001542091
600000,4,3.144893333,0.002084970
900000,4,3.142973333,0.003989935
1350000,4,3.142832593,0.006466866
2025000,4,3.142427654,0.006474972
3037500,4,3.141975967,0.014160872
4556250,4,3.141407956,0.014942884
6834375,4,3.141695912,0.028432131
10251562,4,3.141751081,0.034595966
15377343,4,3.141684490,0.050878048
23066015,4,3.141187587,0.071404934
34599022,4,3.140849819,0.107236147
51898533,4,3.141296267,0.161901951
77847800,4,3.141499387,0.239778042
116771700,4,3.141508054,0.354125023
400000,4,3.141960000,0.001687050
600000,4,3.143906667,0.002094984
900000,4,3.144328889,0.006304979
1350000,4,3.143706667,0.004233122
2025000,4,3.142445432,0.006433964
3037500,4,3.142666008,0.009504080
4556250,4,3.142073416,0.015852928
6834375,4,3.141915976,0.023540974
10251562,4,3.141563793,0.038511038
15377343,4,3.141823396,0.051249981
23066015,4,3.141737140,0.074593067
34599022,4,3.141553886,0.106768847
51898533,4,3.141757398,0.160057068
77847800,4,3.141577848,0.239203930
116771700,4,3.141612497,0.359757185
400000,4,3.142000000,0.001561880
600000,4,3.141260000,0.002076149
900000,4,3.141737778,0.004227877
1350000,4,3.142071111,0.007843971
2025000,4,3.141351111,0.006326914
3037500,4,3.141918025,0.008767128
4556250,4,3.141976845,0.016299963
6834375,4,3.141049182,0.026546001
10251562,4,3.141068649,0.037511110
15377343,4,3.141081005,0.050005198
23066015,4,3.140901625,0.073559046
34599022,4,3.141103584,0.107296944
51898533,4,3.141610804,0.162940025
77847800,4,3.141388247,0.238153934
116771700,4,3.141427452,0.359111071
400000,4,3.141130000,0.001446962
600000,4,3.141140000,0.001999855
900000,4,3.141666667,0.002724171
1350000,4,3.142160000,0.007668972
2025000,4,3.140827654,0.012353182
3037500,4,3.141462387,0.010135889
4556250,4,3.142462332,0.016772985
6834375,4,3.142923237,0.022754908
10251562,4,3.142169749,0.034191847
15377343,4,3.142130341,0.051280022
23066015,4,3.142019287,0.076515913
34599022,4,3.141456889,0.106019020
51898533,4,3.141427292,0.161643028
77847800,4,3.141500826,0.240113974
116771700,4,3.141606091,0.359493971
400000,4,3.140550000,0.001491070
600000,4,3.141620000,0.002650023
900000,4,3.140644444,0.005799055
1350000,4,3.141090370,0.004376888
2025000,4,3.141742222,0.006302834
3037500,4,3.141204280,0.009292126
4556250,4,3.141042743,0.019125938
6834375,4,3.140992995,0.030837059
10251562,4,3.141159562,0.034846067
15377343,4,3.141536220,0.052923918
23066015,4,3.141463144,0.075757980
34599022,4,3.141529029,0.110413074
51898533,4,3.141508913,0.164075136
77847800,4,3.141511565,0.240911961
116771700,4,3.141562930,0.362246990
400000,4,3.141100000,0.001472950
600000,4,3.141380000,0.001985073
900000,4,3.140302222,0.008362055
1350000,4,3.140924444,0.004356861
2025000,4,3.140478025,0.006448030
3037500,4,3.140518189,0.015749931
4556250,4,3.141875885,0.021282911
6834375,4,3.141959287,0.024523020
10251562,4,3.141681629,0.035419941
15377343,4,3.141797383,0.051814079
23066015,4,3.141952869,0.074368000
34599022,4,3.141753891,0.110219002
51898533,4,3.141811966,0.158998966
77847800,4,3.141805061,0.242173910
116771700,4,3.141601433,0.360327959
400000,4,3.140380000,0.001567841
600000,4,3.142253333,0.002073050
900000,4,3.144004444,0.005554914
1350000,4,3.142802963,0.004318953
2025000,4,3.143196049,0.006617069
3037500,4,3.143183539,0.009452820
4556250,4,3.142466722,0.015818119
6834375,4,3.142030690,0.021456003
10251562,4,3.142266515,0.034966946
15377343,4,3.142218262,0.051913977
23066015,4,3.142368545,0.073619127
34599022,4,3.142004650,0.109154940
51898533,4,3.141683099,0.161939144
77847800,4,3.141586429,0.243471861
116771700,4,3.141592012,0.360298157
