N,num_threads,pi_est,real_time
100000,8,3.144840000,0.000447035
200000,8,3.142680000,0.001294851
300000,8,3.140213333,0.000706911
100000,8,3.144840000,0.000867128
200000,8,3.142680000,0.000965834
300000,8,3.140213333,0.000654936
100000,8,3.144840000,0.000487089
200000,8,3.142680000,0.000515938
300000,8,3.140213333,0.000659943
100000,8,3.146120000,0.000514030
200000,8,3.145320000,0.000655890
300000,8,3.144986667,0.000926018
100000,8,3.146120000,0.001091003
200000,8,3.145320000,0.001101017
300000,8,3.144986667,0.000900984
100000,8,3.146120000,0.000535965
200000,8,3.145320000,0.000623941
300000,8,3.144986667,0.000823021
